URI                               KIND     ADAPTER
--------------------------------  -------  ------------
app://pc1/notes/command/add       service  http-service
app://pc1/notes/query/list        service  http-service
app://pc2/orders/command/create   service  http-service
app://pc2/orders/query/list       service  http-service
app://pc3/reports/command/render  service  http-service
app://pc3/reports/query/latest    service  http-service
app://pc4/monitor/command/check   service  http-service
app://pc4/monitor/query/status    service  http-service
log://pc1/session/command/write   service  http-service
log://pc1/session/query/recent    service  http-service
pc://pc1/network/command/ping     service  http-service
pc://pc2/service/command/start    service  http-service
pc://pc2/terminal/command/run     service  http-service
pc://pc3/http/command/get         service  http-service
pc://pc3/service/command/start    service  http-service
pc://pc4/http/command/get         service  http-service
